"i.vec","sp.query","q.rank","ncbi.ids","class","cohort","family","genus","infraclass","infraorder","kingdom","order","parvorder","phylum","species","species.group","subclass","subcohort","subfamily","subgenus","subkingdom","suborder","subphylum","subtribe","superclass","superfamily","superkingdom","superorder","tribe","host_record_lcdb_nhm"
15,"Acanthocyclops americanus","species","1266903","Hexanauplia",NA,"Cyclopidae","Acanthocyclops","Neocopepoda",NA,"Metazoa","Cyclopoida",NA,"Arthropoda","Acanthocyclops americanus",NA,"Copepoda",NA,NA,NA,NA,NA,"Crustacea",NA,"Multicrustacea",NA,"Eukaryota","Podoplea",NA,"Cyclops viridis"
15,"Acanthocyclops americanus","species","1266903","Hexanauplia",NA,"Cyclopidae","Acanthocyclops","Neocopepoda",NA,"Metazoa","Cyclopoida",NA,"Arthropoda","Acanthocyclops americanus",NA,"Copepoda",NA,NA,NA,NA,NA,"Crustacea",NA,"Multicrustacea",NA,"Eukaryota","Podoplea",NA,"Cyclops viridus"
16,"Acanthocyclops brevispinosus","species","938086","Hexanauplia",NA,"Cyclopidae","Acanthocyclops","Neocopepoda",NA,"Metazoa","Cyclopoida",NA,"Arthropoda","Acanthocyclops brevispinosus",NA,"Copepoda",NA,NA,NA,NA,NA,"Crustacea",NA,"Multicrustacea",NA,"Eukaryota","Podoplea",NA,"Cyclops brevispinosus"
17,"Acanthocyclops gigas","genus","245076","Hexanauplia",NA,"Cyclopidae","Acanthocyclops","Neocopepoda",NA,"Metazoa","Cyclopoida",NA,"Arthropoda",NA,NA,"Copepoda",NA,NA,NA,NA,NA,"Crustacea",NA,"Multicrustacea",NA,"Eukaryota","Podoplea",NA,"Acanthocyclops gigas"
18,"Acanthocyclops languidoides","genus","245076","Hexanauplia",NA,"Cyclopidae","Acanthocyclops","Neocopepoda",NA,"Metazoa","Cyclopoida",NA,"Arthropoda",NA,NA,"Copepoda",NA,NA,NA,NA,NA,"Crustacea",NA,"Multicrustacea",NA,"Eukaryota","Podoplea",NA,"Acanthocyclops languidoides"
19,"Acanthocyclops nanus","genus","245076","Hexanauplia",NA,"Cyclopidae","Acanthocyclops","Neocopepoda",NA,"Metazoa","Cyclopoida",NA,"Arthropoda",NA,NA,"Copepoda",NA,NA,NA,NA,NA,"Crustacea",NA,"Multicrustacea",NA,"Eukaryota","Podoplea",NA,"Acanthocyclops nanus"
20,"Acanthocyclops parcus","genus","245076","Hexanauplia",NA,"Cyclopidae","Acanthocyclops","Neocopepoda",NA,"Metazoa","Cyclopoida",NA,"Arthropoda",NA,NA,"Copepoda",NA,NA,NA,NA,NA,"Crustacea",NA,"Multicrustacea",NA,"Eukaryota","Podoplea",NA,"Acanthocyclops vernalis"
21,"Acanthocyclops robustus","species","415614","Hexanauplia",NA,"Cyclopidae","Acanthocyclops","Neocopepoda",NA,"Metazoa","Cyclopoida",NA,"Arthropoda","Acanthocyclops robustus",NA,"Copepoda",NA,NA,NA,NA,NA,"Crustacea",NA,"Multicrustacea",NA,"Eukaryota","Podoplea",NA,"Acanthocyclops robustus"
22,"Acanthocyclops sp.","genus","245076","Hexanauplia",NA,"Cyclopidae","Acanthocyclops","Neocopepoda",NA,"Metazoa","Cyclopoida",NA,"Arthropoda",NA,NA,"Copepoda",NA,NA,NA,NA,NA,"Crustacea",NA,"Multicrustacea",NA,"Eukaryota","Podoplea",NA,"Acanthocyclops sp."
23,"Acanthocyclops viridis","species","298422","Hexanauplia",NA,"Cyclopidae","Acanthocyclops","Neocopepoda",NA,"Metazoa","Cyclopoida",NA,"Arthropoda","Acanthocyclops viridis",NA,"Copepoda",NA,NA,NA,NA,NA,"Crustacea",NA,"Multicrustacea",NA,"Eukaryota","Podoplea",NA,"Acanthocyclops viridis"
24,"Acanthodactylus pardalis","species","463643","Craniata",NA,"Lacertidae","Acanthodactylus",NA,NA,"Metazoa","Squamata",NA,"Chordata","Acanthodactylus pardalis",NA,NA,NA,"Lacertinae",NA,NA,NA,"Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Lepidosauria",NA,"Acanthodactylus pardalis"
25,"Acanthodactylus schmidti","species","80464","Craniata",NA,"Lacertidae","Acanthodactylus",NA,NA,"Metazoa","Squamata",NA,"Chordata","Acanthodactylus schmidti",NA,NA,NA,"Lacertinae",NA,NA,NA,"Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Lepidosauria",NA,"Acanthodactylus schmidti"
26,"Acanthodactylus schreiberi","species","714888","Craniata",NA,"Lacertidae","Acanthodactylus",NA,NA,"Metazoa","Squamata",NA,"Chordata","Acanthodactylus schreiberi",NA,NA,NA,"Lacertinae",NA,NA,NA,"Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Lepidosauria",NA,"Acanthodactylus schreiberi"
27,"Acanthodiaptomus denticornis","species","595357","Hexanauplia",NA,"Diaptomidae","Acanthodiaptomus","Neocopepoda",NA,"Metazoa","Calanoida",NA,"Arthropoda","Acanthodiaptomus denticornis",NA,"Copepoda",NA,NA,NA,NA,NA,"Crustacea",NA,"Multicrustacea",NA,"Eukaryota","Gymnoplea",NA,"Acanthodiaptomus denticornis"
27,"Acanthodiaptomus denticornis","species","595357","Hexanauplia",NA,"Diaptomidae","Acanthodiaptomus","Neocopepoda",NA,"Metazoa","Calanoida",NA,"Arthropoda","Acanthodiaptomus denticornis",NA,"Copepoda",NA,NA,NA,NA,NA,"Crustacea",NA,"Multicrustacea",NA,"Eukaryota","Gymnoplea",NA,"Diaptomus denticornis"
27,"Acanthodiaptomus denticornis","species","595357","Hexanauplia",NA,"Diaptomidae","Acanthodiaptomus","Neocopepoda",NA,"Metazoa","Calanoida",NA,"Arthropoda","Acanthodiaptomus denticornis",NA,"Copepoda",NA,NA,NA,NA,NA,"Crustacea",NA,"Multicrustacea",NA,"Eukaryota","Gymnoplea",NA,"Diaptomus deuticornis"
28,"Acanthogobius flavimanus","species","86203","Actinopteri","Euteleosteomorpha","Gobiidae","Acanthogobius","Teleostei",NA,"Metazoa","Gobiiformes",NA,"Chordata","Acanthogobius flavimanus",NA,"Neopterygii",NA,"Gobionellinae",NA,NA,"Gobioidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA,"Acanthogobius flavimanus"
29,"Acanthogobius hasta","species","267130","Actinopteri","Euteleosteomorpha","Gobiidae","Acanthogobius","Teleostei",NA,"Metazoa","Gobiiformes",NA,"Chordata","Acanthogobius hasta",NA,"Neopterygii",NA,"Gobionellinae",NA,NA,"Gobioidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA,"Acanthogobius hasta"
30,"Acanthopagrus australis","species","160963","Actinopteri","Euteleosteomorpha","Sparidae","Acanthopagrus","Teleostei",NA,"Metazoa","Spariformes",NA,"Chordata","Acanthopagrus australis",NA,"Neopterygii",NA,NA,NA,NA,NA,"Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA,"Acanthopagrus australis"
31,"Acanthopagrus schlegelii","species","72011","Actinopteri","Euteleosteomorpha","Sparidae","Acanthopagrus","Teleostei",NA,"Metazoa","Spariformes",NA,"Chordata","Acanthopagrus schlegelii",NA,"Neopterygii",NA,NA,NA,NA,NA,"Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA,"Sparus macrocephalus"
32,"Acanthophis antarcticus","species","8605","Craniata",NA,"Elapidae","Acanthophis",NA,"Serpentes","Metazoa","Squamata",NA,"Chordata","Acanthophis antarcticus",NA,NA,NA,"Acanthophiinae",NA,NA,NA,"Craniata",NA,"Sarcopterygii","Colubroidea","Eukaryota","Lepidosauria",NA,"Acanthophis antarcticus"
33,"Acanthopsetta nadeshnyi","species","352243","Actinopteri","Euteleosteomorpha","Pleuronectidae","Acanthopsetta","Teleostei",NA,"Metazoa","Pleuronectiformes",NA,"Chordata","Acanthopsetta nadeshnyi",NA,"Neopterygii",NA,NA,NA,NA,"Pleuronectoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA,"Acanthopsetta nadeshnyi"
34,"Acartia bifilosa","species","544687","Hexanauplia",NA,"Acartiidae","Acartia","Neocopepoda",NA,"Metazoa","Calanoida",NA,"Arthropoda","Acartia bifilosa",NA,"Copepoda",NA,NA,NA,NA,NA,"Crustacea",NA,"Multicrustacea",NA,"Eukaryota","Gymnoplea",NA,"Acartia bifilosa"
35,"Acartia clausi","genus","121148","Hexanauplia",NA,"Acartiidae","Acartia","Neocopepoda",NA,"Metazoa","Calanoida",NA,"Arthropoda",NA,NA,"Copepoda",NA,NA,NA,NA,NA,"Crustacea",NA,"Multicrustacea",NA,"Eukaryota","Gymnoplea",NA,"Acartia clausi"
36,"Acartia discaudata","species","1201398","Hexanauplia",NA,"Acartiidae","Acartia","Neocopepoda",NA,"Metazoa","Calanoida",NA,"Arthropoda","Acartia discaudata",NA,"Copepoda",NA,NA,NA,NA,NA,"Crustacea",NA,"Multicrustacea",NA,"Eukaryota","Gymnoplea",NA,"Acartia discaudata"
37,"Acartia longiremis","species","121149","Hexanauplia",NA,"Acartiidae","Acartia","Neocopepoda",NA,"Metazoa","Calanoida",NA,"Arthropoda","Acartia longiremis",NA,"Copepoda",NA,NA,NA,NA,NA,"Crustacea",NA,"Multicrustacea",NA,"Eukaryota","Gymnoplea",NA,"Acartia longiremis"
38,"Acartia sp.","genus","121148","Hexanauplia",NA,"Acartiidae","Acartia","Neocopepoda",NA,"Metazoa","Calanoida",NA,"Arthropoda",NA,NA,"Copepoda",NA,NA,NA,NA,NA,"Crustacea",NA,"Multicrustacea",NA,"Eukaryota","Gymnoplea",NA,"Acartia sp."
39,"Acartia tonsa","species","136180","Hexanauplia",NA,"Acartiidae","Acartia","Neocopepoda",NA,"Metazoa","Calanoida",NA,"Arthropoda","Acartia tonsa",NA,"Copepoda",NA,NA,NA,NA,NA,"Crustacea",NA,"Multicrustacea",NA,"Eukaryota","Gymnoplea",NA,"Acartia tonsa"
40,"Accipiter badius","species","387787","Aves",NA,"Accipitridae","Accipiter","Neognathae",NA,"Metazoa","Accipitriformes",NA,"Chordata","Accipiter badius",NA,NA,NA,"Accipitrinae",NA,NA,NA,"Craniata",NA,"Sarcopterygii",NA,"Eukaryota",NA,NA,"Accipiter badius"
41,"Accipiter cooperii","species","261198","Aves",NA,"Accipitridae","Accipiter","Neognathae",NA,"Metazoa","Accipitriformes",NA,"Chordata","Accipiter cooperii",NA,NA,NA,"Accipitrinae",NA,NA,NA,"Craniata",NA,"Sarcopterygii",NA,"Eukaryota",NA,NA,"Accipiter cooperii"
42,"Accipiter gentilis","species","8957","Aves",NA,"Accipitridae","Accipiter","Neognathae",NA,"Metazoa","Accipitriformes",NA,"Chordata","Accipiter gentilis",NA,NA,NA,"Accipitrinae",NA,NA,NA,"Craniata",NA,"Sarcopterygii",NA,"Eukaryota",NA,NA,"Accipiter gentilis"
43,"Accipiter gularis","species","258530","Aves",NA,"Accipitridae","Accipiter","Neognathae",NA,"Metazoa","Accipitriformes",NA,"Chordata","Accipiter gularis",NA,NA,NA,"Accipitrinae",NA,NA,NA,"Craniata",NA,"Sarcopterygii",NA,"Eukaryota",NA,NA,"Accipiter gularis"
44,"Accipiter nisus","species","211598","Aves",NA,"Accipitridae","Accipiter","Neognathae",NA,"Metazoa","Accipitriformes",NA,"Chordata","Accipiter nisus",NA,NA,NA,"Accipitrinae",NA,NA,NA,"Craniata",NA,"Sarcopterygii",NA,"Eukaryota",NA,NA,"Accipiter nisus"
45,"Accipiter sp.","genus","8956","Aves",NA,"Accipitridae","Accipiter","Neognathae",NA,"Metazoa","Accipitriformes",NA,"Chordata",NA,NA,NA,NA,"Accipitrinae",NA,NA,NA,"Craniata",NA,"Sarcopterygii",NA,"Eukaryota",NA,NA,"Accipiter sp."
46,"Accipiter striatus","species","56330","Aves",NA,"Accipitridae","Accipiter","Neognathae",NA,"Metazoa","Accipitriformes",NA,"Chordata","Accipiter striatus",NA,NA,NA,"Accipitrinae",NA,NA,NA,"Craniata",NA,"Sarcopterygii",NA,"Eukaryota",NA,NA,"Accipiter striatus"
47,"Accipiter virgatus","species","387810","Aves",NA,"Accipitridae","Accipiter","Neognathae",NA,"Metazoa","Accipitriformes",NA,"Chordata","Accipiter virgatus",NA,NA,NA,"Accipitrinae",NA,NA,NA,"Craniata",NA,"Sarcopterygii",NA,"Eukaryota",NA,NA,"Accipiter virgatus nisoides"
49,"Achatina fulica","species","6530","Gastropoda",NA,"Achatinidae","Achatina",NA,NA,"Metazoa","Stylommatophora",NA,"Mollusca","Achatina fulica",NA,"Heterobranchia",NA,NA,NA,NA,NA,NA,NA,NA,"Achatinoidea","Eukaryota","Eupulmonata",NA,"Achatina fulica"
50,"Acheilognathus rhombeus","species","80784","Actinopteri","Otomorpha","Acheilognathidae","Acheilognathus","Teleostei",NA,"Metazoa","Cypriniformes",NA,"Chordata","Acheilognathus rhombeus",NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Cyprinoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Cypriniphysae",NA,"Acheilognathus rhombea"
51,"Acheta domesticus","species","6997","Insecta","Polyneoptera","Gryllidae","Acheta","Neoptera","Gryllidea","Metazoa","Orthoptera",NA,"Arthropoda","Acheta domesticus",NA,"Pterygota",NA,"Gryllinae",NA,NA,"Ensifera","Hexapoda",NA,NA,"Grylloidea","Eukaryota",NA,NA,"Acheta domestica"
51,"Acheta domesticus","species","6997","Insecta","Polyneoptera","Gryllidae","Acheta","Neoptera","Gryllidea","Metazoa","Orthoptera",NA,"Arthropoda","Acheta domesticus",NA,"Pterygota",NA,"Gryllinae",NA,NA,"Ensifera","Hexapoda",NA,NA,"Grylloidea","Eukaryota",NA,NA,"Acheta domesticus"
52,"Acheta pennsylvanicus","genus","6996","Insecta","Polyneoptera","Gryllidae","Acheta","Neoptera","Gryllidea","Metazoa","Orthoptera",NA,"Arthropoda",NA,NA,"Pterygota",NA,"Gryllinae",NA,NA,"Ensifera","Hexapoda",NA,NA,"Grylloidea","Eukaryota",NA,NA,"Acheta pennsylvanicus"
53,"Achipteria sp.","genus","229768","Arachnida",NA,"Achipteriidae","Achipteria",NA,"Brachypylina","Metazoa","Sarcoptiformes",NA,"Arthropoda",NA,NA,"Acari",NA,NA,NA,NA,"Oribatida","Chelicerata",NA,NA,"Achipterioidea","Eukaryota","Acariformes",NA,"Achipteria sp."
54,"Achondrostoma arcasii","species","236539","Actinopteri","Otomorpha","Cyprinidae","Achondrostoma","Teleostei",NA,"Metazoa","Cypriniformes",NA,"Chordata","Achondrostoma arcasii",NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Cyprinoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Cypriniphysae",NA,"Rutilus arcasii"
55,"Acinonyx jubatus","species","32536","Mammalia",NA,"Felidae","Acinonyx",NA,NA,"Metazoa","Carnivora",NA,"Chordata","Acinonyx jubatus",NA,NA,NA,"Acinonychinae",NA,NA,"Feliformia","Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Laurasiatheria",NA,"Acinonyx jubatus"
55,"Acinonyx jubatus","species","32536","Mammalia",NA,"Felidae","Acinonyx",NA,NA,"Metazoa","Carnivora",NA,"Chordata","Acinonyx jubatus",NA,NA,NA,"Acinonychinae",NA,NA,"Feliformia","Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Laurasiatheria",NA,"Acinonyx jubilatus"
56,"Acinonyx sp.","genus","32535","Mammalia",NA,"Felidae","Acinonyx",NA,NA,"Metazoa","Carnivora",NA,"Chordata",NA,NA,NA,NA,"Acinonychinae",NA,NA,"Feliformia","Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Laurasiatheria",NA,"Acinonyx sp."
57,"Acipenser baerii","species","27689","Actinopteri",NA,"Acipenseridae","Acipenser",NA,NA,"Metazoa","Acipenseriformes",NA,"Chordata","Acipenser baerii",NA,"Chondrostei",NA,"Acipenserinae",NA,NA,"Acipenseroidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,"Acipenserini","Acipenser baeri"
58,"Acipenser brevirostrum","species","7907","Actinopteri",NA,"Acipenseridae","Acipenser",NA,NA,"Metazoa","Acipenseriformes",NA,"Chordata","Acipenser brevirostrum",NA,"Chondrostei",NA,"Acipenserinae",NA,NA,"Acipenseroidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,"Acipenserini","Acipenser brevirostrum"
59,"Acipenser fulvescens","species","41871","Actinopteri",NA,"Acipenseridae","Acipenser",NA,NA,"Metazoa","Acipenseriformes",NA,"Chordata","Acipenser fulvescens",NA,"Chondrostei",NA,"Acipenserinae",NA,NA,"Acipenseroidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,"Acipenserini","Acipenser fulvescens"
60,"Acipenser gueldenstaedtii","species","7902","Actinopteri",NA,"Acipenseridae","Acipenser",NA,NA,"Metazoa","Acipenseriformes",NA,"Chordata","Acipenser gueldenstaedtii",NA,"Chondrostei",NA,"Acipenserinae",NA,NA,"Acipenseroidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,"Acipenserini","Acipenser gueldenstaedti"
60,"Acipenser gueldenstaedtii","species","7902","Actinopteri",NA,"Acipenseridae","Acipenser",NA,NA,"Metazoa","Acipenseriformes",NA,"Chordata","Acipenser gueldenstaedtii",NA,"Chondrostei",NA,"Acipenserinae",NA,NA,"Acipenseroidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,"Acipenserini","Acipenser gueldenstaedti persicus natio kurensis"
60,"Acipenser gueldenstaedtii","species","7902","Actinopteri",NA,"Acipenseridae","Acipenser",NA,NA,"Metazoa","Acipenseriformes",NA,"Chordata","Acipenser gueldenstaedtii",NA,"Chondrostei",NA,"Acipenserinae",NA,NA,"Acipenseroidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,"Acipenserini","Acipenser gueldenstaedtii"
61,"Acipenser guldenstadtii","genus","7901","Actinopteri",NA,"Acipenseridae","Acipenser",NA,NA,"Metazoa","Acipenseriformes",NA,"Chordata",NA,NA,"Chondrostei",NA,"Acipenserinae",NA,NA,"Acipenseroidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,"Acipenserini","Acipenser guldenstadtii"
62,"Acipenser naccarii","species","42330","Actinopteri",NA,"Acipenseridae","Acipenser",NA,NA,"Metazoa","Acipenseriformes",NA,"Chordata","Acipenser naccarii",NA,"Chondrostei",NA,"Acipenserinae",NA,NA,"Acipenseroidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,"Acipenserini","Acipenser naccarii"
63,"Acipenser nudiventris","species","61967","Actinopteri",NA,"Acipenseridae","Acipenser",NA,NA,"Metazoa","Acipenseriformes",NA,"Chordata","Acipenser nudiventris",NA,"Chondrostei",NA,"Acipenserinae",NA,NA,"Acipenseroidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,"Acipenserini","Acipenser nudiventris"
63,"Acipenser nudiventris","species","61967","Actinopteri",NA,"Acipenseridae","Acipenser",NA,NA,"Metazoa","Acipenseriformes",NA,"Chordata","Acipenser nudiventris",NA,"Chondrostei",NA,"Acipenserinae",NA,NA,"Acipenseroidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,"Acipenserini","Acipenser nudiventris derjavini"
64,"Acipenser oxyrinchus","species","36177","Actinopteri",NA,"Acipenseridae","Acipenser",NA,NA,"Metazoa","Acipenseriformes",NA,"Chordata","Acipenser oxyrinchus",NA,"Chondrostei",NA,"Acipenserinae",NA,NA,"Acipenseroidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,"Acipenserini","Acipenser oxyrhynchus"
65,"Acipenser persicus","species","61968","Actinopteri",NA,"Acipenseridae","Acipenser",NA,NA,"Metazoa","Acipenseriformes",NA,"Chordata","Acipenser persicus",NA,"Chondrostei",NA,"Acipenserinae",NA,NA,"Acipenseroidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,"Acipenserini","Acipenser persicus"
66,"Acipenser ruthenus","species","7906","Actinopteri",NA,"Acipenseridae","Acipenser",NA,NA,"Metazoa","Acipenseriformes",NA,"Chordata","Acipenser ruthenus",NA,"Chondrostei",NA,"Acipenserinae",NA,NA,"Acipenseroidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,"Acipenserini","Acipenser ruthenus"
66,"Acipenser ruthenus","species","7906","Actinopteri",NA,"Acipenseridae","Acipenser",NA,NA,"Metazoa","Acipenseriformes",NA,"Chordata","Acipenser ruthenus",NA,"Chondrostei",NA,"Acipenserinae",NA,NA,"Acipenseroidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,"Acipenserini","Acipenser ruthenus marsiglii"
66,"Acipenser ruthenus","species","7906","Actinopteri",NA,"Acipenseridae","Acipenser",NA,NA,"Metazoa","Acipenseriformes",NA,"Chordata","Acipenser ruthenus",NA,"Chondrostei",NA,"Acipenserinae",NA,NA,"Acipenseroidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,"Acipenserini","Acipenser ruthenus x gueldenstaedti"
67,"Acipenser schrenckii","species","111304","Actinopteri",NA,"Acipenseridae","Acipenser",NA,NA,"Metazoa","Acipenseriformes",NA,"Chordata","Acipenser schrenckii",NA,"Chondrostei",NA,"Acipenserinae",NA,NA,"Acipenseroidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,"Acipenserini","Acipenser schrencki"
68,"Acipenser sp.","species","30673","Actinopteri",NA,"Acipenseridae","Acipenser",NA,NA,"Metazoa","Acipenseriformes",NA,"Chordata","Acipenser sp.",NA,"Chondrostei",NA,"Acipenserinae",NA,NA,"Acipenseroidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,"Acipenserini","Acipenser sp."
69,"Acipenser stellatus","species","7903","Actinopteri",NA,"Acipenseridae","Acipenser",NA,NA,"Metazoa","Acipenseriformes",NA,"Chordata","Acipenser stellatus",NA,"Chondrostei",NA,"Acipenserinae",NA,NA,"Acipenseroidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,"Acipenserini","Acipenser stellatus"
69,"Acipenser stellatus","species","7903","Actinopteri",NA,"Acipenseridae","Acipenser",NA,NA,"Metazoa","Acipenseriformes",NA,"Chordata","Acipenser stellatus",NA,"Chondrostei",NA,"Acipenserinae",NA,NA,"Acipenseroidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,"Acipenserini","Acipenser stellatus stellatus natio cyrensis"
69,"Acipenser stellatus","species","7903","Actinopteri",NA,"Acipenseridae","Acipenser",NA,NA,"Metazoa","Acipenseriformes",NA,"Chordata","Acipenser stellatus",NA,"Chondrostei",NA,"Acipenserinae",NA,NA,"Acipenseroidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,"Acipenserini","Acipenser stellatus stellatus natio kurensis"
