binomial,genus,family,order,class,phylum
Homocyclops ater,Homocyclops,Cyclopidae,Cyclopoida,Hexanauplia,Arthropoda
Lithobates catesbeianus,Lithobates,Ranidae,Anura,Amphibia,Chordata
Lithobates sphenocephalus,Lithobates,Ranidae,Anura,Amphibia,Chordata
Orthocladiinae sp.,Orthocladiinae,Chironomidae,Diptera,Insecta,Arthropoda
Psammoryctes barbatus,Psammoryctides,Naididae,Haplotaxida,Clitellata,Annelida
Bradycellus debilipes,Bradycellus,Carabidae,Coleoptera,Insecta,Arthropoda
Agrion sp.,Agrion,Coenagrionidae,Odonata,Insecta,Arthropoda
Pagophilus groenlandicus,Pagophilus,Phocidae,Carnivora,Mammalia,Chordata
Coenagrionidae sp.,NA,Coenagrionidae,Odonata,Insecta,Arthropoda
Integripalpia sp.,NA,NA,Trichoptera,Insecta,Arthropoda
Libellulidae sp.,Libellulidae,Libellulidae,Odonata,Insecta,Arthropoda
Nototheniops larseni,Nototheniops,Nototheniidae,Perciformes,Actinopteri,Chordata
Lindbergichthys nudifrons,Lindbergichthys,Nototheniidae,Perciformes,Actinopteri,Chordata
Bimastus tenuis,Dendrodrilus,Lumbricidae,Haplotaxida,Clitellata,Annelida
Octolasium complanatum,Octolasium,Lumbricidae,Haplotaxida,Clitellata,Annelida
Octolasium rebelli,Octolasium,Lumbricidae,Haplotaxida,Clitellata,Annelida
Eropeplus canus,Eropeplus,Muridae,Rodentia,Mammalia,Chordata
Polymitarcys sp.,Polymitarcys,Polymitarcyidae,Ephemeroptera,Insecta,Arthropoda
Agriolimax caruanae,Deroceras,Agriolimacidae,Stylommatophora,Gastropoda,Mollusca
Agriolimax reticulatus,Deroceras,Agriolimacidae,Stylommatophora,Gastropoda,Mollusca
Lithobates pipiens,Lithobates,Ranidae,Anura,Amphibia,Chordata
Lithobates septentrionalis,Lithobates,Ranidae,Anura,Amphibia,Chordata
Lunarca ovalis,Lunarca,Arcidae,Arcoida,Bivalvia,Mollusca
Cypricercus affinis,Cypricercus,Cyprididae,Podocopida,Ostracoda,Arthropoda
Tumeodiaptomus diabolicus,Tumeodiaptomus,Diaptomidae,Calanoida,Hexanauplia,Arthropoda
Dogielinotus moskvitini,Dogielinotus,Dogielinotidaeï,Amphipoda,Malacostraca,Arthropoda
Spinulogammarus ochotensis,Spinulogammarus,Gammaridae,Amphipoda,Malacostraca,Arthropoda
Lepidactylus sp.,Lepidactylus,Haustoriidae,Amphipoda,Malacostraca,Arthropoda
Chen caerulescens,Chen,Anatidae,Anseriformes,Aves,Chordata
Melicertus longistylus,Melicertus,Penaeidae,Decapoda,Malacostraca,Arthropoda
Taeniurops meyeni,Taeniurops,Dasyatidae,Myliobatiformes,Chondrichthyes,Chordata
Americorophium spinicorne,Americorophium,Corophiidae,Amphipoda,Malacostraca,Arthropoda
Perpolita petronella,Perpolita,Oxychilidae,Stylommatophora,Gastropoda,Mollusca
Phoeniconaias minor,Phoeniconaias,Phoenicopteridae,Phoenicopteriformes,Aves,Chordata
Lithobates berlandieri,Lithobates,Ranidae,Anura,Amphibia,Chordata
Lithobates heckscheri,Lithobates,Ranidae,Anura,Amphibia,Chordata
Lithobates montezumae,Lithobates,Ranidae,Anura,Amphibia,Chordata
Lithobates zweifeli,Lithobates,Ranidae,Anura,Amphibia,Chordata
Amblonyx cinerea,Amblonyx,Mustelidae,Carnivora,Mammalia,Chordata
Acrossus luridus,Acrossus,Scarabaeidae,Coleoptera,Insecta,Arthropoda
Bodilopsis rufus,Bodilopsis,Scarabaeidae,Coleoptera,Insecta,Arthropoda
Lithobates blairi,Lithobates,Ranidae,Anura,Amphibia,Chordata
Lithobates sylvaticus,Lithobates,Ranidae,Anura,Amphibia,Chordata
Anisotarsus agilis,Anisotarsus,Carabidae,Coleoptera,Insecta,Arthropoda
Harpacticoida sp.,NA,NA,Harpacticoida,Hexanauplia,Arthropoda
Idothea sp.,Idotea,Idoteidae,Isopoda,Malacostraca,Arthropoda
Proboloides holmesi,Proboloides,Stenothoidae,Amphipoda,Malacostraca,Arthropoda
Ampithoe valida,Ampithoe,Ampithoidae,Amphipoda,Malacostraca,Arthropoda
Ligyrus sp.,Ligyrus,Scarabaeidae,Coleoptera,Insecta,Arthropoda
Heliodrilus lagosensis,Heliodrilus,Eudrilidae,Haplotaxida,Clitellata,Annelida
Myxas glutinosa,Myxas,Lymnaeidae,Heterobranchia,Gastropoda,Mollusca
Exoribatula sp.,Exoribatula,Scheloribatidae,Sarcoptiformes,Arachnida,Arthropoda
Kilimabates pilosus,Kilimabates,Scheloribatidae,Sarcoptiformes,Arachnida,Arthropoda
Muliercula ngoyensis,Muliercula,Scheloribatidae,Sarcoptiformes,Arachnida,Arthropoda
Protoschelobates seghettii,Protoschelobates,Scheloribatidae,Sarcoptiformes,Arachnida,Arthropoda
Pelops tardus,Pelops,Scheloribatidae,Sarcoptiformes,Arachnida,Arthropoda
Hylacola pyrrhopygia,Hylacola,Acanthizidae,Passeriformes,Aves,Chordata
Cestrinus punctatissimus,Cestrinus,Tenebrionidae,Coleoptera,Insecta,Arthropoda
Lithobates capito,Lithobates,Ranidae,Anura,Amphibia,Chordata
Mariaella dussumieri,Mariaella,Ariophantidae,Stylommatophora,Gastropoda,Mollusca
Farfantepenaeus brasiliensis,Farfantepenaeus,Penaeidae,Decapoda,Malacostraca,Arthropoda
Farfantepenaeus duorarum,Farfantepenaeus,Penaeidae,Decapoda,Malacostraca,Arthropoda
Amphiporeia virginiana,Amphiporeia,Pontoporeiidae,Amphipoda,Malacostraca,Arthropoda
Dajaus monticola,Dajaus,Mugilidae,Mugiliformes,Actinopteri,Chordata
Chironitis hungaricus,Chironitis,Scarabaeidae,Coleoptera,Insecta,Arthropoda
Ateuchetus variolosus,Ateuchetus,Scarabaeidae,Coleoptera,Insecta,Arthropoda
Farfantepenaeus aztecus,Farfantepenaeus,Penaeidae,Decapoda,Malacostraca,Arthropoda
Litopenaeus setiferus,Litopenaeus,Penaeidae,Decapoda,Malacostraca,Arthropoda
Trigonoscelis gigas,Trigonoscelis,Tenebrionidae,Coleoptera,Insecta,Arthropoda
Diaperasticus erythrocephalus,Diaperasticus,Forficulidae,Dermaptera,Insecta,Arthropoda
Pseudonapaeus albiplicatus,Pseudonapaeus,Enidae,Stylommatophora,Gastropoda,Mollusca
Pseudonapaeus pfeifferi,Pseudonapaeus,Enidae,Stylommatophora,Gastropoda,Mollusca
Pseudonapaeus sogdianus,Pseudonapaeus,Enidae,Stylommatophora,Gastropoda,Mollusca
Alteutha sp.,Alteutha,Peltidiidae,Harpacticoida,Hexanauplia,Arthropoda
Diosaccidae sp.,Diosaccidae,Miraciidae,Harpacticoida,Hexanauplia,Arthropoda
Macrosetella sp.,Macrosetella,Miraciidae,Harpacticoida,Hexanauplia,Arthropoda
Edotia triloba,Edotia,Idoteidae,Isopoda,Malacostraca,Arthropoda
Palaemonetes vulgaris,Palaemonetes,Palaemonidae,Decapoda,Malacostraca,Arthropoda
Abacidus permundus,Abacidus,Carabidae,Coleoptera,Insecta,Arthropoda
Bradycellus debilipes,Bradycellus,Carabidae,Coleoptera,Insecta,Arthropoda
Triglyphothrix striatidens,Triglyphothrix,Formicidae,Hymenoptera,Insecta,Arthropoda
Xiphomyrmex sp.,Xiphomyrmex,Formicidae,Hymenoptera,Insecta,Arthropoda
Cricotopus silvestris,Cricotopus,Chironomidae,Diptera,Insecta,Arthropoda
Mesomysis kowalewskyi,Mesomysis,Mysidae,Mysida,Malacostraca,Arthropoda
Phytochironomus sp.,Phytochironomus,Chironomidae,Diptera,Insecta,Arthropoda
Anisus vortex,Anisus,Planorbidae,Heterobranchia,Gastropoda,Mollusca
Tendipes sp.,Tendipes,Chironomidae,Diptera,Insecta,Arthropoda
Trichoptera sp.,NA,NA,Trichoptera,Insecta,Arthropoda
Agrion hastulatum,Agrion,Coenagrionidae,Odonata,Insecta,Arthropoda
Agrion armatum,Agrion,Coenagrionidae,Odonata,Insecta,Arthropoda
Sympycna sp.,Sympycna,Lestidae,Odonata,Insecta,Arthropoda
Xeroniscus erythraeus,Xeroniscus,Eubelidae,Isopoda,Malacostraca,Arthropoda
Gonatodes humeralis,Gonatodes,Sphaerodactylidae,Squamata,Craniata,Chordata
Enchytraeidae sp.,Enchytraeidae,Enchytraeidae,Enchytraeida,Clitellata,Annelida
Serratella ignita,Serratella,Ephemerellidae,Ephemeroptera,Insecta,Arthropoda
Cnemotrupes semiopacus,Cnemotrupes,Geotrupidae,Coleoptera,Insecta,Arthropoda
Chaunus arenarum,Chaunus,Bufonidae,Anura,Amphibia,Chordata
Nicrophorus humator,Nicrophorus,Silphidae,Coleoptera,Insecta,Arthropoda
Africacarus calcaratus,Africacarus,Scheloribatidae,Sarcoptiformes,Arachnida,Arthropoda
Allogalumna pellucida,Allogalumna,Galumnidae,Sarcoptiformes,Arachnida,Arthropoda
Pisterotarsa kessleri,Pisterotarsa,Tenebrionidae,Coleoptera,Insecta,Arthropoda
Trigonoscelis gemmulata,Trigonoscelis,Tenebrionidae,Coleoptera,Insecta,Arthropoda
Sciurocheirus alleni,Sciurocheirus,Galagidae,Primates,Mammalia,Chordata
Idothea baltica,Idotea,Idoteidae,Isopoda,Malacostraca,Arthropoda
Tendipes salinarius,Tendipes,Chironomidae,Diptera,Insecta,Arthropoda
Eurypleuromeris conspersa,Eurypleuromeris,Glomeridae,Glomerida,Diplopoda,Arthropoda
Fruticola lantzi,Fruticola,Bradybaenidae,Stylommatophora,Gastropoda,Mollusca
Phenacolimax rugulosa,Phenacolimax,Vitrinidae,Stylommatophora,Gastropoda,Mollusca
Pseudonapaeus labiellus,Pseudonapaeus,Enidae,Stylommatophora,Gastropoda,Mollusca
Chrotogonus sp.,Chrotogonus,Pyrgomorphidae,Orthoptera,Insecta,Arthropoda
Pisterotarsa kiritshenkoi,Pisterotarsa,Tenebrionidae,Coleoptera,Insecta,Arthropoda
Stalagmoptera incostata,Stalagmoptera,Tenebrionidae,Coleoptera,Insecta,Arthropoda
Trigonoscelis ceromatica,Trigonoscelis,Tenebrionidae,Coleoptera,Insecta,Arthropoda
Aphodius fossor,Aphodius,Scarabaeidae,Coleoptera,Insecta,Arthropoda
Trochulus hispidus,Trochulus,Hygromiidae,Stylommatophora,Gastropoda,Mollusca
Onchidium reevesii,Onchidium,Onchidiidae,Systellommatophora,Gastropoda,Mollusca
Sphaerius minutus ,Sphaerius ,Sphaeriusidae,Coleoptera,Insecta,Arthropoda
Rathouisia leonina,Rathouisia,Rathouisiidae,Systellommatophora,Gastropoda,Mollusca
