"Family","Stage","Random_effect"
"Camallanidae","2 (D)",-0.002
"Filaroididae","2 (D)",-0.004
"Anguillicolidae","2 (I)",-0.005
"Phyllobothriidae","3 (I)",-0.005
"Linstowiidae","1 (I)",-0.007
"Centrorhynchidae","3 (D)",-0.01
"Moniliformidae","1 (I)",-0.01
"Tetrabothriidae","3 (D)",-0.01
"Heteroxynematidae","1 (D)",-0.011
"Acuariidae","4 (D)",-0.013
"Spirocercidae","1 (I)",-0.014
"Dracunculidae","2 (I)",-0.014
"Rhadinorhynchidae","3 (D)",-0.016
"Heligmosomidae","1 (D)",-0.017
"Nematoparataeniidae","1 (I)",-0.018
"Cystoopsidae","1 (I)",-0.022
"Rictulariidae","2 (D)",-0.023
"Proteocephalidae","3 (D)",-0.026
"Trichinellidae","1 (D)",-0.027
"Pomphorhynchidae","1 (I)",-0.028
"Toxocaridae","3 (D)",-0.03
"Heterakidae","2 (D)",-0.031
"Illiosentidae","1 (I)",-0.033
"Tentaculariidae","1 (I)",-0.035
"Raphidascarididae","3 (I)",-0.035
"Anguillicolidae","1 (I)",-0.039
"Heterakidae","1 (I)",-0.04
"Haemonchidae","1 (D)",-0.042
"Metastrongylidae","1 (D)",-0.046
"Filaroididae","3 (D)",-0.047
"Dipylidiidae","2 (D)",-0.047
"Mesidionematidae","1 (D)",-0.048
"Thelaziidae","3 (D)",-0.048
"Kathlaniidae","2 (D)",-0.049
"Gnathostomatidae","3 (D)",-0.05
"Neoechinorhynchidae","2 (D)",-0.05
"Amabiliidae","2 (D)",-0.051
"Dioctophymidae","2 (D)",-0.051
"Schizochoeridae","2 (D)",-0.052
"Rhinebothriidae","3 (D)",-0.053
"Cucullanidae","1 (I)",-0.055
"Heterakidae","1 (D)",-0.056
"Hymenolepididae","2 (I)",-0.056
"Hymenolepididae","2 (D)",-0.057
"Anoplocephalidae","2 (D)",-0.058
"Polymorphidae","2 (I)",-0.058
"Quadrigyridae","3 (D)",-0.061
"Hymenolepididae","3 (D)",-0.062
"Toxocaridae","2 (I)",-0.063
"Acrobothriidae","1 (I)",-0.063
"Phyllobothriidae","3 (D)",-0.064
"Acuariidae","3 (D)",-0.064
"Dioctophymidae","3 (I)",-0.064
"Bothriocephalidae","3 (D)",-0.067
"Habronematidae","3 (D)",-0.068
"Oligacanthorhynchidae","2 (D)",-0.069
"Plagiorhynchidae","1 (I)",-0.07
"Cephalochlamydidae","2 (D)",-0.07
"Schizochoeridae","1 (I)",-0.072
"Triaenophoridae","1 (I)",-0.075
"Phyllobothriidae","4 (D)",-0.076
"Trichosomoididae","2 (D)",-0.076
"Echeneibothriidae","2 (D)",-0.076
"Heligmosomatidae","1 (D)",-0.076
"Spathebothriidae","2 (D)",-0.079
"Eutetrarhynchidae","2 (I)",-0.079
"Cavisomidae","2 (D)",-0.079
"Eutetrarhynchidae","3 (D)",-0.08
"Toxocaridae","2 (D)",-0.081
"Nippotaeniidae","2 (D)",-0.082
"Crenosomatidae","2 (I)",-0.083
"Toxocaridae","1 (D)",-0.085
"Serendipidae","2 (D)",-0.086
"Physalopteridae","2 (D)",-0.087
"Tenuisentidae","2 (D)",-0.088
"Progynotaeniidae","1 (I)",-0.089
"Cucullanidae","1 (D)",-0.089
"Aporhynchidae","3 (D)",-0.09
"Micropleuridae","2 (D)",-0.09
"Cephalochlamydidae","1 (I)",-0.091
"Gongylonematidae","1 (I)",-0.092
"Dioecotaeniidae","2 (D)",-0.092
"Eutetrarhynchidae","1 (I)",-0.094
"Giganthorhynchidae","1 (I)",-0.095
"Heteracanthocephalidae","2 (D)",-0.095
"Gryporhynchidae","1 (I)",-0.096
"Gnathostomatidae","1 (I)",-0.096
"Nematoparataeniidae","2 (D)",-0.1
"Haplobothriidae","3 (D)",-0.1
"Cavisomidae","1 (I)",-0.1
"Nippotaeniidae","1 (I)",-0.103
"Rhinebothriidae","2 (D)",-0.104
"Haplobothriidae","1 (I)",-0.108
"Lacistorhynchidae","1 (I)",-0.108
"Otobothriidae","3 (I)",-0.109
"Tenuisentidae","1 (I)",-0.109
"Hartertiidae","1 (I)",-0.109
"Tetrameridae","2 (D)",-0.11
"Micropleuridae","1 (I)",-0.111
"Diplotriaenidae","3 (D)",-0.113
"Tentaculariidae","3 (D)",-0.116
"Amphilinidae","2 (D)",-0.12
"Proteocephalidae","2 (I)",-0.121
"Quimperiidae","2 (D)",-0.126
"Physalopteridae","3 (D)",-0.129
"Catenotaeniidae","1 (I)",-0.132
"Diphyllobothriidae","3 (I)",-0.133
"Soboliphymatidae","1 (I)",-0.134
"Habronematidae","2 (I)",-0.134
"Schistotaeniidae","2 (D)",-0.136
"Schistotaeniidae","1 (I)",-0.137
"Dioctophymidae","1 (I)",-0.137
"Anisakidae","2 (D)",-0.138
"Lytocestidae","2 (D)",-0.141
"Gryporhynchidae","3 (D)",-0.143
"Soboliphymatidae","2 (D)",-0.144
"Acuariidae","1 (I)",-0.144
"Quimperiidae","1 (I)",-0.147
"Pomphorhynchidae","2 (I)",-0.151
"Triaenophoridae","2 (I)",-0.152
"Metastrongylidae","2 (D)",-0.152
"Dilepididae","1 (I)",-0.155
"Filaroididae","2 (I)",-0.156
"Guyanemidae","1 (I)",-0.157
"Hartertiidae","2 (D)",-0.161
"Neoechinorhynchidae","1 (I)",-0.163
"Taeniidae","2 (D)",-0.164
"Davaineidae","1 (I)",-0.165
"Soboliphymatidae","2 (I)",-0.165
"Quadrigyridae","1 (I)",-0.165
"Cystoopsidae","2 (D)",-0.172
"Cystidicolidae","1 (I)",-0.177
"Caryophyllaeidae","1 (I)",-0.177
"Rhinebothriidae","2 (I)",-0.181
"Filaroididae","1 (D)",-0.181
"Lacistorhynchidae","3 (I)",-0.182
"Capillariidae","1 (I)",-0.189
"Onchobothriidae","2 (D)",-0.191
"Caryophyllaeidae","2 (D)",-0.193
"Raphidascarididae","2 (D)",-0.196
"Centrorhynchidae","1 (I)",-0.199
"Crenosomatidae","2 (D)",-0.207
"Pseudaliidae","2 (D)",-0.216
"Angiostrongylidae","2 (D)",-0.219
"Fessisentidae","1 (I)",-0.22
"Camallanidae","1 (I)",-0.225
"Lytocestidae","1 (I)",-0.228
"Phyllobothriidae","2 (I)",-0.232
"Thelastomatidae","1 (D)",-0.239
"Cystidicolidae","2 (I)",-0.24
"Philometridae","2 (D)",-0.24
"Philometridae","1 (I)",-0.242
"Seuratidae","2 (D)",-0.242
"Proteocephalidae","2 (D)",-0.244
"Seuratidae","1 (I)",-0.259
"Thelaziidae","1 (I)",-0.259
"Cucullanidae","2 (I)",-0.266
"Triaenophoridae","3 (D)",-0.272
"Dracunculidae","1 (I)",-0.296
"Angiostrongylidae","3 (D)",-0.318
"Philometridae","3 (D)",-0.327
"Cloacinidae","1 (D)",-0.33
"Protostrongylidae","2 (D)",-0.334
"Metastrongylidae","3 (D)",-0.334
"Rhadinorhynchidae","2 (I)",-0.348
"Oxyuridae","1 (D)",-0.355
"Camallanidae","2 (I)",-0.356
"Ascarididae","2 (D)",-0.36
"Hedruridae","1 (I)",-0.371
"Tetrabothriidae","2 (I)",-0.393
"Rhadinorhynchidae","1 (I)",-0.394
"Anguillicolidae","3 (D)",-0.396
"Strongylidae","1 (D)",-0.402
"Anisakidae","4 (D)",-0.412
"Gnathostomatidae","4 (D)",-0.418
"Diplotriaenidae","2 (D)",-0.435
"Diphyllobothriidae","2 (I)",-0.443
"Polymorphidae","1 (I)",-0.448
"Echinorhynchidae","1 (I)",-0.479
"Neoechinorhynchidae","2 (I)",-0.485
"Dilepididae","2 (I)",-0.555
