"Family","Stage","Random_effect"
"Acuariidae","1 (I)",0.06
"Fessisentidae","2 (D)",0.06
"Dioctophymidae","2 (D)",0.058
"Dioecotaeniidae","1 (I)",0.057
"Habronematidae","2 (D)",0.057
"Toxocaridae","1 (D)",0.055
"Ascaridiidae","1 (D)",0.052
"Gongylonematidae","1 (I)",0.052
"Triaenophoridae","1 (I)",0.05
"Cystidicolidae","3 (D)",0.05
"Cystoopsidae","1 (I)",0.049
"Caryophyllaeidae","1 (I)",0.048
"Ascarididae","1 (I)",0.045
"Lacistorhynchidae","4 (D)",0.039
"Lacistorhynchidae","3 (D)",0.039
"Eutetrarhynchidae","2 (I)",0.035
"Oligacanthorhynchidae","2 (D)",0.031
"Heligmosomidae","1 (D)",0.029
"Gnathostomatidae","2 (D)",0.027
"Gnathostomatidae","1 (I)",0.026
"Haplobothriidae","2 (I)",0.016
"Trichinellidae","1 (D)",0.015
"Otobothriidae","1 (I)",0.013
"Dipylidiidae","3 (D)",0.013
"Angiostrongylidae","2 (D)",0.012
"Tentaculariidae","1 (I)",0.01
"Dioctophymidae","3 (I)",0.009
"Hymenolepididae","2 (I)",0.009
"Pomphorhynchidae","3 (D)",0.009
"Gnathostomatidae","3 (D)",0.007
"Camallanidae","2 (D)",0.007
"Echinobothriidae","2 (D)",0.004
"Kathlaniidae","1 (I)",0.002
"Caryophyllaeidae","2 (D)",0.001
"Dioctophymidae","3 (D)",0
"Giganthorhynchidae","1 (I)",-0.002
"Plagiorhynchidae","2 (I)",-0.002
"Plagiorhynchidae","1 (I)",-0.002
"Rhadinorhynchidae","2 (I)",-0.004
"Filaroididae","2 (D)",-0.005
"Otobothriidae","4 (D)",-0.011
"Progynotaeniidae","1 (I)",-0.012
"Anisakidae","4 (I)",-0.012
"Diphyllobothriidae","4 (D)",-0.013
"Oligacanthorhynchidae","1 (I)",-0.017
"Heteroxynematidae","1 (D)",-0.017
"Giganthorhynchidae","2 (D)",-0.02
"Progynotaeniidae","2 (D)",-0.021
"Heteracanthocephalidae","2 (D)",-0.022
"Pomphorhynchidae","2 (D)",-0.023
"Eutetrarhynchidae","3 (D)",-0.027
"Metastrongylidae","1 (D)",-0.027
"Mesidionematidae","1 (D)",-0.029
"Cephalochlamydidae","2 (D)",-0.03
"Crenosomatidae","2 (D)",-0.031
"Heterakidae","1 (D)",-0.031
"Anisakidae","3 (I)",-0.033
"Echeneibothriidae","2 (D)",-0.037
"Heligmosomatidae","1 (D)",-0.041
"Pomphorhynchidae","2 (I)",-0.043
"Rhinebothriidae","1 (I)",-0.045
"Gryporhynchidae","3 (D)",-0.045
"Pseudaliidae","1 (I)",-0.047
"Illiosentidae","1 (I)",-0.047
"Anoplocephalidae","2 (D)",-0.047
"Cucullanidae","1 (D)",-0.049
"Gongylonematidae","2 (D)",-0.05
"Nematoparataeniidae","1 (I)",-0.051
"Raphidascarididae","4 (D)",-0.053
"Metastrongylidae","3 (D)",-0.055
"Strongylidae","1 (I)",-0.056
"Schistotaeniidae","2 (D)",-0.057
"Schistotaeniidae","1 (I)",-0.057
"Schizochoeridae","1 (I)",-0.058
"Metastrongylidae","2 (D)",-0.058
"Cavisomidae","1 (I)",-0.058
"Filaroididae","1 (D)",-0.059
"Angiostrongylidae","3 (D)",-0.06
"Phyllobothriidae","4 (D)",-0.06
"Onchobothriidae","2 (I)",-0.06
"Trichosomoididae","1 (I)",-0.06
"Centrorhynchidae","2 (I)",-0.062
"Kathlaniidae","2 (D)",-0.062
"Capillariidae","2 (I)",-0.062
"Hartertiidae","1 (I)",-0.063
"Micropleuridae","1 (I)",-0.064
"Schizochoeridae","2 (D)",-0.066
"Cavisomidae","2 (D)",-0.066
"Cystidicolidae","1 (I)",-0.069
"Strongylidae","2 (D)",-0.069
"Rhinebothriidae","3 (D)",-0.071
"Tenuisentidae","2 (D)",-0.072
"Micropleuridae","2 (D)",-0.073
"Habronematidae","1 (I)",-0.073
"Dioecotaeniidae","2 (D)",-0.073
"Dipylidiidae","1 (I)",-0.075
"Onchobothriidae","3 (D)",-0.075
"Heterakidae","2 (D)",-0.075
"Metastrongylidae","2 (I)",-0.076
"Serendipidae","2 (D)",-0.077
"Quadrigyridae","2 (D)",-0.077
"Eutetrarhynchidae","1 (I)",-0.079
"Acuariidae","3 (I)",-0.08
"Toxocaridae","2 (D)",-0.081
"Quadrigyridae","3 (D)",-0.082
"Phyllobothriidae","3 (D)",-0.082
"Cephalochlamydidae","1 (I)",-0.082
"Amphilinidae","2 (D)",-0.083
"Linstowiidae","1 (I)",-0.083
"Haplobothriidae","1 (I)",-0.083
"Cystidicolidae","2 (I)",-0.089
"Nippotaeniidae","1 (I)",-0.091
"Capillariidae","1 (I)",-0.093
"Spathebothriidae","2 (D)",-0.094
"Cystoopsidae","2 (D)",-0.094
"Philometridae","2 (I)",-0.097
"Quimperiidae","1 (I)",-0.097
"Dictyocaulidae","1 (D)",-0.098
"Anisakidae","3 (D)",-0.098
"Echinobothriidae","1 (I)",-0.098
"Dracunculidae","2 (D)",-0.099
"Cucullanidae","1 (I)",-0.099
"Nippotaeniidae","2 (D)",-0.1
"Rhinebothriidae","2 (I)",-0.101
"Toxocaridae","2 (I)",-0.102
"Habronematidae","3 (D)",-0.102
"Aporhynchidae","3 (D)",-0.102
"Haplobothriidae","3 (D)",-0.103
"Oligacanthorhynchidae","3 (D)",-0.104
"Philometridae","2 (D)",-0.105
"Lacistorhynchidae","3 (I)",-0.106
"Ancylostomatidae","1 (D)",-0.106
"Quimperiidae","2 (D)",-0.106
"Lacistorhynchidae","1 (I)",-0.107
"Fessisentidae","1 (I)",-0.109
"Rictulariidae","2 (I)",-0.11
"Ascarididae","1 (D)",-0.111
"Guyanemidae","1 (I)",-0.111
"Tenuisentidae","1 (I)",-0.118
"Rhinebothriidae","2 (D)",-0.119
"Diplotriaenidae","3 (D)",-0.121
"Soboliphymatidae","1 (I)",-0.121
"Pomphorhynchidae","1 (I)",-0.122
"Tentaculariidae","3 (D)",-0.123
"Nematoparataeniidae","2 (D)",-0.124
"Centrorhynchidae","1 (I)",-0.126
"Triaenophoridae","2 (I)",-0.126
"Bothriocephalidae","2 (I)",-0.127
"Physalopteridae","3 (D)",-0.128
"Dipylidiidae","2 (D)",-0.129
"Triaenophoridae","3 (D)",-0.129
"Moniliformidae","1 (I)",-0.129
"Hartertiidae","2 (D)",-0.131
"Catenotaeniidae","1 (I)",-0.131
"Lytocestidae","2 (D)",-0.134
"Soboliphymatidae","2 (D)",-0.134
"Onchobothriidae","1 (I)",-0.135
"Thelastomatidae","1 (D)",-0.139
"Bothriocephalidae","3 (D)",-0.144
"Rictulariidae","2 (D)",-0.151
"Filaroididae","3 (D)",-0.153
"Dracunculidae","2 (I)",-0.153
"Anisakidae","2 (D)",-0.156
"Cucullanidae","2 (I)",-0.159
"Gryporhynchidae","1 (I)",-0.159
"Seuratidae","1 (I)",-0.161
"Quadrigyridae","1 (I)",-0.163
"Thelaziidae","3 (D)",-0.165
"Heterakidae","1 (I)",-0.166
"Onchobothriidae","2 (D)",-0.167
"Trichuridae","1 (D)",-0.17
"Pseudaliidae","2 (D)",-0.172
"Raphidascarididae","2 (D)",-0.181
"Seuratidae","2 (D)",-0.189
"Dracunculidae","1 (I)",-0.199
"Neoechinorhynchidae","2 (D)",-0.205
"Crenosomatidae","2 (I)",-0.205
"Lytocestidae","1 (I)",-0.206
"Dilepididae","1 (I)",-0.223
"Filaroididae","2 (I)",-0.225
"Oxyuridae","1 (D)",-0.228
"Camallanidae","1 (I)",-0.228
"Diphyllobothriidae","3 (I)",-0.228
"Camallanidae","2 (I)",-0.233
"Spirocercidae","3 (D)",-0.237
"Cloacinidae","1 (D)",-0.238
"Dioctophymidae","1 (I)",-0.239
"Hedruridae","1 (I)",-0.252
"Anguillicolidae","3 (D)",-0.263
"Haemonchidae","1 (D)",-0.278
"Proteocephalidae","2 (D)",-0.278
"Tetrabothriidae","2 (I)",-0.288
"Neoechinorhynchidae","2 (I)",-0.289
"Davaineidae","2 (D)",-0.293
"Philometridae","3 (D)",-0.293
"Neoechinorhynchidae","1 (I)",-0.295
"Diplotriaenidae","2 (D)",-0.297
"Proteocephalidae","2 (I)",-0.304
"Dilepididae","2 (I)",-0.309
"Phyllobothriidae","2 (I)",-0.312
"Taeniidae","2 (D)",-0.323
"Physalopteridae","2 (I)",-0.326
"Rhadinorhynchidae","1 (I)",-0.328
"Gnathostomatidae","4 (D)",-0.336
"Echinorhynchidae","1 (I)",-0.343
"Polymorphidae","1 (I)",-0.356
"Protostrongylidae","2 (D)",-0.358
"Ascarididae","2 (D)",-0.358
"Angiostrongylidae","2 (I)",-0.376
